Employee_ID,KPI,Attendance,Rating
1,89,47,Low
2,30,6,No
3,84,57,C
4,71,59,No
5,32,2,No
6,61,20,Yes
7,26,24,No
8,10,33,Low
9,51,81,No
10,96,99,Low
11,59,51,Medium
12,46,78,Critical
13,30,1,C
14,80,22,B
15,80,17,No
16,50,20,Critical
17,44,33,High
18,19,25,No
19,28,81,High
20,8,83,High
21,59,37,Yes
22,68,97,Medium
23,96,10,Low
24,26,23,High
25,56,21,Low
26,57,42,High
27,58,80,C
28,46,91,No
29,75,17,C
30,79,67,High
31,32,15,B
32,63,30,C
33,41,15,No
34,20,35,A
35,34,15,High
36,1,48,C
37,24,8,Critical
38,21,6,High
39,4,34,Yes
40,4,93,No
41,62,93,B
42,44,76,Medium
43,26,23,Critical
44,92,96,Medium
45,48,19,Critical
46,25,60,A
47,58,45,Medium
48,32,30,Medium
49,31,12,No
50,67,48,Medium
51,16,76,Critical
52,32,72,No
53,100,81,No
54,16,22,A
55,28,60,Low
56,100,26,Medium
57,56,10,A
58,20,74,Yes
59,39,33,C
60,93,74,B
61,50,16,Medium
62,85,47,B
63,62,85,A
64,28,76,Critical
65,20,81,No
66,42,82,Yes
67,77,6,A
68,35,42,Medium
69,81,17,Yes
70,48,61,Critical
71,73,6,High
72,91,59,Low
73,59,64,C
74,97,28,No
75,33,79,Low
76,37,16,Critical
77,29,44,Critical
78,26,98,Medium
79,54,28,A
80,100,18,C
81,69,12,A
82,4,50,Low
83,51,45,C
84,51,78,Low
85,94,85,Medium
86,98,88,C
87,30,97,Yes
88,63,61,A
89,99,92,Critical
90,33,72,High
91,68,97,C
92,90,95,No
93,4,49,C
94,51,19,Low
95,79,34,Medium
96,53,15,B
97,52,7,B
98,11,73,Medium
99,29,44,A
100,79,87,Critical
101,46,92,No
102,31,53,Low
103,97,29,A
104,80,94,High
105,32,25,Low
106,73,44,Low
107,14,99,Yes
108,54,7,C
109,43,69,Critical
110,45,85,A
111,30,45,A
112,10,29,B
113,17,46,Critical
114,12,60,C
115,54,49,No
116,10,59,B
117,86,20,No
118,91,89,High
119,68,47,A
120,31,45,B
121,43,57,C
122,97,2,Low
123,92,98,Yes
124,89,13,Yes
125,35,47,Yes
126,73,24,B
127,46,48,High
128,90,86,Low
129,50,69,Critical
130,45,85,C
131,74,53,No
132,66,34,B
133,11,7,Medium
134,72,35,No
135,28,55,C
136,75,26,Yes
137,36,12,A
138,51,88,C
139,37,38,B
140,12,53,Yes
141,90,26,B
142,16,66,Critical
143,73,97,C
144,11,5,Medium
145,42,32,B
146,12,25,High
147,57,17,Medium
148,88,61,Medium
149,7,19,B
150,17,89,B
151,56,62,No
152,2,78,No
153,70,82,Medium
154,77,12,C
155,72,80,Critical
156,5,30,C
157,86,72,Low
158,3,97,A
159,6,17,Critical
160,86,50,C
161,10,78,B
162,40,42,Yes
163,55,62,Medium
164,49,98,No
165,1,84,Medium
166,39,94,Yes
167,73,74,A
168,2,51,Medium
169,84,76,Medium
170,32,9,A
171,68,58,C
172,40,65,High
173,19,64,B
174,80,48,Low
175,71,15,Yes
176,35,70,High
177,64,81,B
178,19,19,Critical
179,52,57,No
180,78,59,Critical
181,91,51,Medium
182,3,28,C
183,29,32,Critical
184,56,72,Medium
185,11,4,Yes
186,83,43,Yes
187,93,26,C
188,21,71,Medium
189,66,21,High
190,39,82,No
191,76,91,Critical
192,45,55,Critical
193,99,27,High
194,79,75,B
195,17,23,A
196,1,24,High
197,34,47,Yes
198,53,85,Yes
199,32,54,Yes
200,54,74,A
